type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,2534,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35519333,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-2,-5,-5,-19,-6,-18,-6,-19,-6,-19,-6,-18,-7,-18,-8,-17,-8,-17,-8,-17,-8,-18,-8,-18,-8,-18,-8,-18,-8,-17,-9,-17,-10,-17,-11,-16,-11,-16,-11,-15,-11,-15,-11,-15,-12,-15,-12,-15,-12,-16,-12,-16,-12,-16,-7,-8,-14,-15,-15,-16,-15,-16,-15,-15,-15,-15,-15,-15,-16,-15,-16,-15,-16,-16,-16,-17,-16,-18,-15,-18,-15,-17,-16,-17,-16,-18,-17,-18,-16,-19,-16,-18,-16,-18,-16,-19,-15,-19,-15,-20,-14,-21,-12,-21,-12,-21,-11,-21,-3,-6,0,0,0,0,0,0,0,0,0,0,-2,-9,-5,-35,-5,-36,-6,-37,-7,-36,-7,-35,-8,-35,-10,-35,-10,-35,-10,-34,-10,-34,-9,-34,-9,-34,-10,-34,-11,-34,-13,-33,-15,-34,-16,-34,-16,-32,-16,-32,-17,-32,-18,-32,-18,-31,-18,-31,-17,-32,-16,-32,-17,-31,-20,-31,-22,-31,-23,-30,-23,-30,-24,-30,-24,-30,-25,-31,-26,-31,-26,-30,-25,-31,-25,-33,-25,-34,-25,-34,-26,-33,-27,-33,-28,-34,-28,-34,-28,-34,-27,-36,-28,-37,-28,-38,-27,-38,-25,-39,-23,-40,-22,-41,-21,-41,-21,-41,-21,-41,-21,-41,-20,-42,-18,-43,-5,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,33,11,32,12,33,12,32,13,31,14,30,16,29,17,28,18,29,18,29,17,30,17,30,16,30,16,29,16,28,16,28,17,28,17,28,16,27,16,26,16,25,17,26,17,27,15,27,14,28,13,28,13,28,12,27,12,27,12,28,11,28,10,28,10,28,10,28,10,29,10,29,9,30,7,31,5,31,4,31,4,31,4,32,3,32,3,32,3,32,2,32,2,33,2,33,1,33,0,33,-1,34,-3,34,-3,34,-2,34,-3,35,-4,36,-4,36,-4,9,-2]"
CSI_DATA,2535,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35529309,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,4,4,18,4,17,5,18,5,18,5,17,5,17,6,17,6,17,6,16,6,17,6,17,7,17,7,17,7,16,7,16,8,16,9,15,9,15,9,15,9,15,9,15,10,15,10,15,11,15,11,15,11,15,5,7,12,15,12,15,13,15,13,15,13,15,13,15,14,15,14,15,14,15,15,17,14,17,14,17,13,16,13,17,14,18,14,18,14,19,13,19,13,19,13,19,12,19,12,20,11,21,10,21,9,21,9,20,2,5,0,0,0,0,0,0,0,0,0,0,2,8,9,34,10,34,11,34,11,33,12,32,13,32,13,32,13,32,14,31,14,31,14,31,15,31,15,31,16,30,18,30,19,30,20,30,20,29,19,28,19,28,20,28,21,27,22,27,21,27,20,27,21,27,23,25,25,25,26,25,27,25,27,24,27,25,27,26,28,26,29,25,29,26,30,27,30,27,30,27,30,27,32,27,33,27,32,27,32,28,32,29,32,31,32,32,31,32,31,33,30,34,29,35,28,35,27,35,27,35,27,36,26,36,25,37,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-2,-34,-7,-33,-8,-34,-10,-34,-11,-33,-11,-32,-12,-32,-14,-32,-14,-32,-14,-32,-14,-32,-13,-32,-13,-33,-13,-32,-13,-31,-13,-30,-14,-30,-14,-30,-13,-30,-13,-29,-14,-29,-13,-29,-13,-30,-12,-30,-10,-30,-10,-31,-10,-30,-9,-29,-9,-30,-8,-30,-8,-30,-8,-30,-8,-31,-7,-31,-7,-31,-7,-31,-5,-32,-3,-32,-1,-32,0,-33,0,-33,0,-34,1,-34,1,-33,2,-34,2,-34,2,-34,2,-34,3,-34,4,-34,5,-34,7,-34,7,-34,7,-34,7,-36,8,-37,8,-36,8,-9,2]"
CSI_DATA,2536,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35539338,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,4,-3,16,-9,16,-9,16,-10,16,-10,16,-9,15,-9,15,-9,15,-10,15,-10,15,-11,15,-11,15,-12,14,-12,14,-12,14,-12,14,-13,13,-13,13,-13,12,-13,13,-13,13,-13,13,-14,12,-14,12,-15,12,-15,13,-15,6,-8,12,-17,13,-17,12,-17,12,-17,12,-17,13,-17,13,-17,13,-17,13,-18,13,-19,13,-19,13,-19,13,-19,14,-19,15,-19,15,-19,16,-19,16,-18,16,-17,17,-17,18,-17,18,-16,18,-16,18,-16,18,-15,18,-14,4,-4,0,0,0,0,0,0,0,0,0,0,8,-4,32,-14,33,-14,33,-16,32,-17,31,-17,31,-17,31,-17,31,-18,30,-18,30,-20,29,-21,28,-21,28,-21,28,-20,29,-20,30,-21,29,-21,28,-21,26,-22,27,-24,27,-25,26,-24,25,-26,23,-27,23,-26,23,-26,24,-27,25,-28,26,-28,25,-29,25,-30,24,-31,23,-32,23,-33,23,-33,24,-33,23,-34,22,-36,22,-36,22,-35,23,-34,27,-34,28,-33,28,-34,28,-36,29,-36,29,-36,30,-36,30,-36,29,-36,30,-36,31,-35,31,-33,32,-29,35,-28,37,-27,37,-27,9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,8,-5,33,-6,33,-6,34,-7,34,-8,32,-8,32,-7,33,-7,33,-8,32,-10,31,-11,32,-11,32,-11,31,-12,31,-11,31,-10,31,-10,31,-10,30,-10,30,-8,30,-8,29,-8,29,-8,29,-9,29,-10,30,-9,30,-8,30,-7,30,-6,29,-5,29,-4,29,-3,30,-2,30,-1,30,-1,30,0,30,0,30,0,31,0,31,1,32,2,32,4,32,5,33,5,33,6,33,8,32,9,31,9,31,9,31,8,30,8,31,8,32,9,33,10,32,11,34,12,35,13,33,3,8]"
CSI_DATA,2537,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35549314,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-4,3,-15,11,-14,12,-15,12,-15,12,-15,12,-14,12,-14,11,-14,12,-14,12,-14,13,-13,13,-13,14,-13,14,-12,14,-12,14,-12,14,-11,14,-11,14,-11,14,-11,14,-12,14,-11,15,-10,16,-10,16,-10,17,-10,16,-5,8,-10,17,-11,18,-10,18,-10,18,-10,18,-11,18,-12,18,-11,18,-11,19,-11,20,-11,20,-11,20,-11,20,-12,20,-13,20,-13,20,-13,20,-14,19,-15,19,-16,18,-16,18,-17,18,-17,18,-16,18,-17,17,-17,16,-5,4,0,0,0,0,0,0,0,0,0,0,-9,-1,-36,-2,-36,-2,-36,-1,-37,1,-37,1,-37,1,-36,2,-36,3,-35,3,-34,4,-34,5,-35,6,-36,6,-36,5,-35,5,-37,5,-37,6,-36,7,-35,8,-35,9,-35,10,-34,11,-33,12,-33,12,-33,13,-34,13,-35,13,-35,13,-35,13,-36,15,-36,16,-36,17,-36,18,-35,19,-35,19,-35,19,-35,20,-36,21,-36,21,-37,22,-38,21,-39,19,-40,18,-41,19,-41,20,-42,20,-42,20,-42,19,-42,18,-41,18,-42,19,-44,18,-45,17,-44,13,-45,10,-46,9,-46,8,-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,18,-29,18,-28,19,-28,20,-28,20,-27,20,-26,20,-26,20,-26,22,-26,23,-24,24,-24,24,-24,24,-24,23,-24,22,-24,22,-24,21,-25,21,-23,20,-22,19,-22,19,-23,20,-24,20,-24,20,-23,20,-23,20,-24,19,-25,18,-25,17,-25,16,-26,15,-26,14,-26,14,-26,13,-27,13,-28,12,-29,12,-29,12,-28,12,-28,11,-30,11,-31,9,-32,9,-33,8,-32,7,-32,6,-32,5,-33,5,-34,4,-34,5,-34,6,-34,6,-35,5,-35,4,-35,4,-36,3,-37,2,-37,0,-10]"
CSI_DATA,2538,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35559326,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-5,1,-17,7,-17,8,-17,8,-18,8,-17,8,-17,8,-16,9,-16,9,-16,9,-16,10,-16,10,-16,10,-16,11,-16,10,-15,10,-15,11,-15,11,-14,11,-14,12,-14,12,-14,12,-13,13,-13,13,-13,14,-13,14,-14,15,-7,7,-13,16,-14,16,-14,16,-13,16,-13,16,-13,17,-13,17,-13,17,-13,17,-14,17,-14,18,-14,18,-14,18,-15,18,-16,18,-16,18,-16,18,-16,18,-17,18,-17,17,-17,17,-17,16,-18,16,-18,16,-19,15,-19,14,-5,3,0,0,0,0,0,0,0,0,0,0,-10,1,-36,7,-35,8,-36,10,-35,11,-34,11,-35,11,-35,11,-34,11,-33,12,-33,13,-33,14,-32,15,-31,15,-31,14,-31,15,-32,16,-33,17,-32,18,-31,18,-31,18,-31,19,-29,20,-29,22,-29,22,-28,22,-27,21,-27,22,-27,24,-28,24,-28,26,-28,27,-27,27,-28,27,-27,28,-27,28,-28,29,-28,30,-27,31,-27,31,-26,30,-27,30,-29,31,-30,31,-31,32,-32,32,-33,31,-33,32,-34,31,-35,32,-35,32,-34,32,-35,30,-35,28,-35,27,-37,26,-38,25,-39,25,-10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-9,11,-34,12,-33,13,-32,14,-32,14,-32,15,-32,14,-32,14,-32,15,-30,15,-29,16,-30,16,-31,17,-31,17,-31,16,-29,16,-29,16,-29,15,-29,15,-29,15,-29,14,-28,13,-28,13,-27,13,-27,14,-28,13,-29,12,-30,11,-29,11,-29,10,-29,9,-29,9,-31,8,-31,7,-31,6,-31,5,-30,4,-30,4,-31,3,-32,3,-33,2,-34,2,-34,1,-34,0,-34,-1,-34,-2,-35,-3,-34,-4,-34,-4,-33,-4,-33,-4,-34,-5,-36,-5,-36,-5,-35,-5,-37,-6,-38,-8,-37,-2,-9]"
CSI_DATA,2539,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35569311,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-1,-5,-3,-19,-3,-19,-4,-19,-4,-19,-4,-19,-4,-19,-5,-19,-5,-19,-6,-19,-5,-19,-5,-20,-5,-19,-5,-19,-6,-18,-6,-18,-7,-18,-8,-18,-8,-17,-9,-17,-9,-17,-9,-17,-9,-17,-10,-18,-10,-18,-10,-18,-10,-18,-6,-9,-12,-18,-12,-18,-12,-19,-13,-19,-13,-18,-13,-18,-13,-19,-14,-19,-14,-19,-14,-20,-13,-21,-12,-21,-12,-20,-13,-21,-13,-21,-13,-22,-13,-23,-12,-23,-12,-23,-12,-23,-11,-23,-10,-23,-9,-24,-8,-24,-7,-24,-6,-23,-2,-6,0,0,0,0,0,0,0,0,0,0,0,-10,1,-36,0,-36,-1,-38,-2,-37,-2,-35,-3,-36,-3,-36,-3,-37,-4,-36,-5,-37,-5,-36,-5,-35,-6,-35,-7,-34,-8,-35,-10,-36,-10,-36,-10,-36,-11,-35,-11,-36,-12,-36,-12,-35,-13,-36,-14,-36,-13,-34,-13,-33,-15,-33,-17,-35,-18,-36,-19,-35,-19,-35,-20,-35,-20,-36,-21,-36,-21,-36,-20,-38,-21,-39,-21,-38,-21,-38,-21,-37,-22,-37,-22,-39,-22,-40,-22,-41,-22,-42,-21,-43,-21,-44,-20,-45,-20,-47,-19,-46,-18,-45,-17,-45,-15,-44,-14,-43,-13,-45,-13,-46,-12,-47,-3,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,25,18,25,19,26,20,26,20,25,21,24,22,23,22,22,22,21,22,21,21,22,22,22,22,23,21,22,22,21,22,21,22,21,22,21,21,22,22,22,22,21,21,20,20,21,19,22,19,22,19,22,18,23,17,22,17,23,16,24,16,24,15,25,15,25,15,25,14,26,14,25,13,25,11,27,10,28,10,29,10,29,9,29,9,30,9,30,8,31,8,32,7,31,7,31,6,31,5,31,4,32,3,33,3,33,3,33,2,36,1,37,1,36,2,8,0]"
CSI_DATA,2544,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35619333,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,0,4,0,18,1,18,1,18,1,18,1,18,1,18,2,18,2,18,3,18,3,18,3,18,3,18,4,18,3,17,4,17,5,17,5,17,6,17,6,17,6,17,6,17,6,17,7,17,8,17,7,17,8,17,4,8,9,17,9,18,9,18,10,18,10,18,10,18,10,18,10,18,11,19,11,20,11,20,10,20,10,19,10,20,10,21,10,21,9,22,9,22,9,21,9,22,8,22,7,22,7,23,6,23,5,22,4,22,1,5,0,0,0,0,0,0,0,0,0,0,-3,9,-9,35,-9,35,-8,37,-7,35,-7,33,-7,34,-6,35,-6,35,-5,35,-4,35,-2,36,-1,35,-2,34,-2,33,-1,34,0,36,0,36,1,36,1,35,1,35,2,36,4,35,5,35,6,35,6,33,6,33,7,33,8,35,8,36,9,36,10,37,10,37,10,37,11,37,12,37,12,39,13,39,14,38,14,38,13,38,13,38,12,40,11,41,11,42,11,43,10,43,10,44,10,45,10,46,10,46,10,45,9,45,7,43,5,42,2,44,1,45,1,46,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,-24,-24,-25,-24,-25,-25,-25,-26,-24,-26,-24,-27,-24,-27,-23,-26,-22,-26,-21,-26,-21,-28,-22,-28,-22,-28,-21,-28,-20,-28,-19,-27,-20,-27,-20,-27,-21,-26,-22,-26,-22,-25,-20,-24,-20,-24,-21,-24,-21,-24,-21,-24,-21,-24,-21,-23,-21,-23,-22,-23,-23,-22,-24,-22,-26,-21,-26,-19,-26,-19,-25,-18,-26,-17,-27,-18,-28,-18,-29,-17,-29,-17,-29,-17,-30,-17,-30,-16,-32,-15,-32,-14,-32,-13,-32,-12,-31,-12,-31,-11,-32,-12,-34,-13,-34,-13,-33,-12,-36,-12,-38,-12,-36,-11,-9,-3]"
CSI_DATA,2545,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35629336,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,-4,3,-13,14,-13,14,-12,14,-12,14,-12,14,-12,14,-11,15,-11,15,-11,15,-10,15,-10,16,-10,16,-10,16,-10,16,-9,16,-9,17,-8,17,-7,17,-7,17,-7,17,-7,17,-7,17,-6,17,-6,18,-6,18,-6,19,-3,9,-5,20,-5,20,-5,20,-4,20,-5,20,-5,21,-5,21,-4,21,-4,21,-4,22,-5,22,-5,22,-5,22,-5,22,-6,23,-6,23,-6,23,-7,23,-7,23,-7,23,-8,22,-9,22,-9,22,-10,22,-10,21,-11,21,-3,5,0,0,0,0,0,0,0,0,0,0,-8,5,-30,21,-29,22,-29,23,-29,24,-28,24,-27,24,-27,25,-27,25,-26,25,-25,25,-25,25,-25,25,-25,26,-24,26,-23,27,-22,29,-22,29,-21,28,-20,28,-20,30,-20,31,-19,30,-18,30,-19,30,-20,29,-19,30,-18,33,-17,34,-16,34,-16,35,-15,35,-15,35,-15,36,-14,37,-14,37,-15,36,-16,37,-17,38,-16,38,-16,38,-15,40,-15,41,-15,40,-16,40,-17,41,-18,42,-18,43,-19,42,-20,41,-22,40,-23,40,-25,40,-25,39,-25,39,-25,38,-26,37,-27,36,-7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-9,-4,-34,-3,-34,-2,-34,-2,-34,0,-34,1,-34,2,-34,3,-34,3,-34,3,-34,2,-34,2,-34,1,-34,1,-33,2,-32,2,-33,1,-33,2,-32,2,-31,3,-31,3,-30,2,-31,1,-32,-1,-32,-1,-32,-1,-31,-2,-30,-2,-30,-3,-31,-4,-31,-4,-30,-4,-30,-4,-30,-5,-31,-5,-31,-6,-31,-9,-31,-11,-31,-11,-30,-11,-30,-12,-30,-13,-31,-14,-31,-14,-31,-14,-31,-14,-31,-14,-31,-15,-31,-16,-30,-18,-30,-19,-29,-20,-29,-19,-30,-20,-30,-22,-31,-22,-32,-22,-32,-6,-8]"
CSI_DATA,2546,1a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35649315,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,3,-3,15,-11,15,-11,16,-12,16,-12,15,-12,15,-12,15,-12,14,-12,14,-12,14,-13,14,-13,14,-14,13,-14,13,-14,13,-14,13,-15,12,-15,11,-15,12,-15,12,-15,12,-15,11,-15,10,-16,10,-17,11,-17,11,-17,5,-9,11,-18,11,-18,10,-19,10,-19,11,-19,11,-19,11,-19,11,-19,11,-20,11,-20,11,-21,11,-20,11,-20,12,-20,12,-20,13,-21,14,-21,14,-21,14,-20,15,-20,15,-19,15,-18,16,-18,16,-18,16,-18,16,-17,4,-5,0,0,0,0,0,0,0,0,0,0,7,-5,31,-18,32,-19,32,-20,31,-21,30,-21,30,-21,30,-22,30,-22,29,-22,29,-23,28,-24,27,-25,27,-24,28,-24,28,-24,28,-25,27,-25,25,-24,24,-25,24,-28,24,-29,24,-28,23,-30,22,-30,21,-29,21,-29,22,-30,23,-31,23,-31,22,-32,21,-33,20,-33,20,-34,19,-35,19,-36,20,-36,19,-38,19,-39,18,-38,19,-37,21,-38,23,-37,24,-37,24,-37,24,-38,25,-39,25,-39,26,-40,27,-40,26,-39,25,-39,26,-38,27,-36,30,-35,32,-33,33,-32,33,-31,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8,-2,35,-2,34,-3,34,-3,34,-4,34,-5,35,-5,35,-5,34,-6,33,-8,33,-9,34,-9,34,-8,33,-8,32,-8,31,-7,33,-7,33,-7,32,-7,32,-6,31,-5,31,-5,31,-6,31,-7,31,-7,31,-6,32,-5,31,-4,30,-3,30,-2,30,-1,30,-1,31,1,32,2,31,2,31,2,31,3,31,3,32,3,32,4,31,5,31,7,32,8,33,9,33,10,33,11,32,12,31,13,31,13,31,12,32,12,33,12,32,13,32,14,33,15,34,16,34,16,33,4,8]"
CSI_DATA,2547,1a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,35659327,0,44,0,384,1,"[44,-64,2,0,0,0,0,0,0,0,1,-5,7,-17,7,-17,7,-18,7,-18,6,-18,6,-17,6,-17,6,-17,5,-17,5,-18,5,-18,4,-18,4,-18,4,-18,4,-18,3,-19,2,-18,2,-18,1,-18,2,-18,2,-18,2,-19,1,-19,0,-19,0,-20,0,-19,0,-10,-1,-20,-1,-21,-1,-21,-2,-21,-1,-21,-1,-21,-1,-22,-1,-21,-1,-22,-1,-23,-1,-23,-1,-23,-1,-22,-1,-23,-1,-23,0,-24,0,-24,1,-24,1,-23,2,-24,3,-24,3,-24,4,-24,4,-24,4,-23,5,-23,1,-6,0,0,0,0,0,0,0,0,0,0,4,-8,17,-30,17,-32,16,-32,15,-33,15,-33,15,-32,15,-32,14,-32,12,-32,11,-32,10,-33,9,-34,9,-35,10,-35,10,-34,9,-35,9,-35,8,-34,6,-34,6,-35,6,-35,4,-34,2,-34,1,-35,1,-35,1,-36,1,-37,1,-37,0,-37,-1,-38,-1,-37,-2,-38,-2,-38,-3,-39,-4,-39,-4,-38,-5,-39,-7,-40,-6,-41,-6,-42,-6,-43,-4,-43,-3,-43,-3,-43,-3,-43,-3,-45,-2,-45,-2,-45,-2,-44,-3,-44,-3,-45,-2,-46,-1,-46,1,-46,4,-45,7,-44,8,-43,2,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,33,14,33,14,33,13,33,13,33,12,32,12,32,12,33,11,34,10,35,9,34,9,34,8,34,7,33,7,33,8,33,8,33,7,32,8,31,8,30,9,30,10,31,9,31,8,30,9,30,10,30,10,29,11,28,11,28,12,28,13,27,14,26,15,25,16,25,16,26,18,26,19,26,18,25,18,25,18,25,19,25,20,25,21,24,22,23,23,22,23,21,25,21,26,20,26,20,26,21,25,21,25,20,26,20,27,20,28,21,29,20,30,19,7,4]"
